"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/quotations/valores-consulta-personalizada-expertise-estetica-frase-franciele-sofiati-londrina-centro.webp","webp","1122x1402","69720","false","","","","","","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/services/editorial/peeling-retinoico-3.jpg","jpeg","640x427","69649","false","blog/peeling-retinoico-recuperacao-planejada.html | en/blog/retinoic-peels-recovery-planning-starts-before-application.html | servicos/peeling-retinoico.html","640x427","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-consulta-estetica-humanizada-londrina-022.webp","webp","1023x1537","69082","false","backups/pt/20260718-081424/pt/faq.html | backups/pt/20260719-080106/pt/faq.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/pages/results/testimonials/resultados-rejuvenescimento-facial-avaliacao-estetica-tratamento-melasma-pagina-franciele-sofiati-londrina-centro.webp","webp","1122x1402","68076","false","en/results.html | resultados.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-planejamento-de-cuidado-personalizado-londrina-043.webp","webp","1023x1537","67842","false","backups/pt/20260718-174301/pt/blog.html | backups/pt/20260719-093151/pt/contact.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/pages/mission/testimonials/missao-consulta-personalizada-beleza-equilibrada-missao-limpeza-pagina-franciele-sofiati-londrina-centro.webp","webp","1122x1402","67526","false","en/mission.html | missao.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/services/editorial/peeling-retinoico-2.jpg","jpeg","640x427","67168","false","servicos/peeling-retinoico.html","640x427","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/pages/skin/testimonials/pele-bioestimulador-colageno-pele-saudavel-drenagem-pos-pagina-franciele-sofiati-londrina-centro.webp","webp","1122x1402","65804","false","en/skin.html | pele.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/pages/mission/testimonials/missao-rejuvenescimento-facial-biomedica-esteta-missao-skinbooster-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","65070","false","en/mission.html | missao.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/services/editorial/mmp-microinfusao-de-medicamentos-na-pele-3.jpg","jpeg","427x640","64994","false","servicos/mmp-microinfusao-de-medicamentos-na-pele.html","427x640","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 427","true"
"assets/pages/results/testimonials/resultados-vasinhos-faciais-contorno-facial-vasinhos-faciais-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","64956","false","en/results.html | resultados.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-orientacao-profissional-para-a-pele-londrina-018.webp","webp","1023x1537","64844","false","backups/pt/20260718-173409/pt/results.html | backups/pt/20260719-080334/pt/thank-you.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/services/editorial/mmp-microinfusao-de-medicamentos-na-pele-2.jpg","jpeg","640x427","64464","false","servicos/mmp-microinfusao-de-medicamentos-na-pele.html","640x427","below fold","meaningful","lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/pages/skin/testimonials/pele-consulta-personalizada-saude-da-pele-depilacao-laser-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","63698","false","en/skin.html | pele.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/journal/articles/ultrassom-radiofrequencia-rejuvenescimento-facial-elegancia-sofiati-artigo-estetica-avancada-londrina-centro.webp","webp","1600x900","63184","false","blog.html | en/blog/collagen-remodeling.html | en/blog.html","1600x900","below fold | above fold candidate","meaningful","lazy | eager","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1280 | 1600","true"
"assets/pages/skin/testimonials/pele-rejuvenescimento-facial-naturalidade-barreira-cutanea-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","63010","false","en/skin.html | pele.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/pages/skin/testimonials/pele-peeling-quimico-protocolo-avancado-microagulhamento-resultado-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","62810","false","en/skin.html | pele.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/services/editorial/protocolo-profissional-de-despigmentacao-3.jpg","jpeg","640x640","62750","false","blog/fotoprotecao-que-cabe-na-rotina.html | blog/sol-e-recuperacao-cutanea.html | blog.html | en/blog/sun-exposure-and-skin-recovery-why-recent-exposure-changes-more-than-a-tan.html | en/blog/sun-protection-that-fits-real-life.html | en/blog.html | servicos/protocolo-profissional-de-despigmentacao.html","640x640","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/pages/skin/testimonials/pele-vasinhos-faciais-cuidado-personalizado-clareamento-manchas-pagina-franciele-sofiati-londrina-centro.webp","webp","1122x1402","62600","false","en/skin.html | pele.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/pages/mission/testimonials/missao-peeling-quimico-protocolo-avancado-missao-bioestimulador-pagina-franciele-sofiati-gleba-palhano.webp","webp","1122x1402","62178","false","en/mission.html | missao.html","52x52","below fold","decorative","lazy","WebP | AVIF where measured smaller","320 | 480 | 640","true"
"assets/hero/responsive/consulta-personalizada-expertise-estetica-estetica-avancada-imagem-destaque-franciele-sofiati-londrina-centro.webp","webp","960x1440","61880","true","","","","","","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960","false"
"assets/services/editorial/peeling-de-cristal-microdermoabrasao-3.jpg","jpeg","640x480","61836","false","blog/microdermoabrasao-objetivos-realistas.html | en/blog/microdermabrasion-realistic-goals-for-surface-renewal.html | servicos/peeling-de-cristal-microdermoabrasao.html","640x480","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
"assets/new-hair-franciele/franciele-sofiati-biomedica-conversa-sobre-cuidado-da-pele-londrina-006.webp","webp","1023x1537","61634","false","backups/pt/20260718-082824/pt/consultation.html | backups/pt/20260719-080106/pt/privacy.html","1023x1537","below fold","meaningful","lazy","WebP | AVIF where measured smaller","320 | 480 | 640 | 768 | 960 | 1023","true"
"assets/services/editorial/peeling-de-cristal-microdermoabrasao-1.jpg","jpeg","640x427","61451","false","blog.html | en/blog.html | servicos/peeling-de-cristal-microdermoabrasao.html","640x427","below fold | above fold candidate","meaningful","lazy | eager","AVIF | WebP | retain source fallback where needed","320 | 480 | 640","true"
