source_page,destination_page,anchor_text,status,rel,type
https://francielesofiati.com/en/care,https://francielesofiati.com/en/consultation,Consult,200,follow,contextual
https://francielesofiati.com/en/care,https://francielesofiati.com/en/contact,Contact,200,follow,contextual
https://francielesofiati.com/en/care,https://francielesofiati.com/en/consultation,Consult,200,follow,contextual
https://francielesofiati.com/en/care,https://francielesofiati.com/en/treatments,Treatments,200,follow,contextual
https://francielesofiati.com/cuidados,https://francielesofiati.com,Início,200,follow,breadcrumb
https://francielesofiati.com/cuidados,https://francielesofiati.com/consulta,Agendar consulta,200,follow,contextual
https://francielesofiati.com/cuidados,https://francielesofiati.com/contato,Contato,200,follow,contextual
https://francielesofiati.com/cuidados,https://francielesofiati.com/consulta,Agendar consulta,200,follow,contextual
https://francielesofiati.com/cuidados,https://francielesofiati.com/tratamentos,Tratamentos,200,follow,contextual
https://francielesofiati.com/en/consultation,https://francielesofiati.com/en,Home,200,follow,breadcrumb
https://francielesofiati.com/consulta,https://francielesofiati.com,Início,200,follow,breadcrumb
https://francielesofiati.com/en/contact,https://francielesofiati.com/en,Home,200,follow,breadcrumb
https://francielesofiati.com/contato,https://francielesofiati.com,Início,200,follow,breadcrumb
https://francielesofiati.com/en/cookies,https://francielesofiati.com/en,Home,200,follow,breadcrumb
https://francielesofiati.com/en/cookies,https://francielesofiati.com/cookies,Ler em português,200,follow,contextual
https://francielesofiati.com/en/cookies,https://francielesofiati.com/en/contact,Contact us,200,follow,contextual
https://francielesofiati.com/cookies,https://francielesofiati.com,Início,200,follow,breadcrumb
https://francielesofiati.com/cookies,https://francielesofiati.com/en/cookies,Read in English,200,follow,contextual
https://francielesofiati.com/cookies,https://francielesofiati.com/contato,Entrar em contato,200,follow,contextual
https://francielesofiati.com/en/faq,https://francielesofiati.com/en,Home,200,follow,breadcrumb
https://francielesofiati.com/en/faq,https://francielesofiati.com/en/consultation,Consult,200,follow,contextual
https://francielesofiati.com/en/faq,https://francielesofiati.com/en/contact,Contact,200,follow,contextual
https://francielesofiati.com/perguntas,https://francielesofiati.com,Início,200,follow,breadcrumb
https://francielesofiati.com/perguntas,https://francielesofiati.com/consulta,Agendar consulta,200,follow,contextual
https://francielesofiati.com/perguntas,https://francielesofiati.com/contato,Contato,200,follow,contextual
https://francielesofiati.com/perguntas,https://francielesofiati.com/consulta,Agendar uma consulta,200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en,Home,200,follow,breadcrumb
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/botox-in-londrina-complete-guide,"Lead essay · Botulinum toxin Lead story 01 Botox in Londrina: complete guide to botulinum toxin Results, aftercare, suitability, safety and natural expression explained from assessment of your own face and movement. By Franciele Sofiati · September 4, 2026 Read the lead essay →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/frugal-chic-intentional-aesthetic-care,"Conscious choices 02 Frugal Chic : the art of investing in aesthetic care without excess A philosophy of purposeful care: less excess, more clarity, safety and choices that respect your routine. 6 min read · Article 02 Read article →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/consultation-first,"Consultation & Care 02 Before the Treatment: Why Thoughtful Aesthetic Care Begins with a Consultation A good plan begins before a device is chosen: with history, priorities, suitability and realistic expectations. 6 min read · Article 02 Read article →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/skin-barrier,"Consultation & Care 03 When More Is Not Better: Rebuilding a Skin Barrier Overwhelmed by Skincare How to recognise an overwhelmed skin barrier, simplify an overactive routine and restore tolerance before adding actives or procedures. 6 min read · Article 03 Read article →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/skin-cleansing,"Consultation & Care 02 A Clearer Starting Point: What Professional Skin Cleansing Can — and Cannot — Do What careful professional cleansing can clarify, which congestion can be treated safely, and why more pressure never means better care. 6 min read · Article 02 Read article →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/uneven-tone,"Skin Health 04 Uneven Tone Is Not One Condition: A More Careful Conversation About Pigmentation Pigmentation has patterns, triggers and memory. Understand why colour must be assessed before choosing how—or whether—to treat it. 6 min read · Article 04 Read article →",200,follow,contextual
https://francielesofiati.com/en/blog,https://francielesofiati.com/en/blog/acne-scars,"Skin Health 06 Not Every Acne Scar Is the Same: Why Texture Requires a Layered Treatment Plan Acne scars differ in depth, shape and colour. Learn why texture usually needs staged, layered treatment rather than one universal device. 6 min read · Article 06 Read article →",200,follow,contextual
